seccion;municipio;Renta neta media por persona
2800704028;Alcorcón;15659
2800704029;Alcorcón;18509
2800704030;Alcorcón;12011
2800704031;Alcorcón;13571
2800704032;Alcorcón;14217
2800704033;Alcorcón;14613
2800704034;Alcorcón;14464
2800704035;Alcorcón;12991
2800801001;Aldea del Fresno;9311
2800901001;Algete;26283
2800901002;Algete;10648
2800901003;Algete;9877
2800901004;Algete;10892
2800901005;Algete;12822
2800901006;Algete;10544
2800901007;Algete;14614
2800901008;Algete;14855
2800901009;Algete;13614
2801001001;Alpedrete;11420
2801001002;Alpedrete;12484
2801001003;Alpedrete;15159
2801001004;Alpedrete;13043
2801001005;Alpedrete;15754
2801001006;Alpedrete;12990
2801001007;Alpedrete;16225
2801001008;Alpedrete;13899
2801101001;Ambite;9826
2801201001;Anchuelo;10840
2801301001;Aranjuez;11201
2801301002;Aranjuez;12226
2801301003;Aranjuez;12067
2801301004;Aranjuez;8507
2801301005;Aranjuez;6788
2801301006;Aranjuez;8176
2801301007;Aranjuez;12696
2801301008;Aranjuez;14228
2801301009;Aranjuez;11817
2801302001;Aranjuez;11659
2801302002;Aranjuez;13474
2801302003;Aranjuez;9462
2801302004;Aranjuez;11047
2801302005;Aranjuez;9717
2801302006;Aranjuez;8879
2801302007;Aranjuez;12762
2801302008;Aranjuez;10628
2801303001;Aranjuez;10820
2801303002;Aranjuez;10932
2801303003;Aranjuez;10954
2801303004;Aranjuez;12443
2801303005;Aranjuez;9142
2801303006;Aranjuez;8892
2801303007;Aranjuez;9582
2801303008;Aranjuez;11968
2801303009;Aranjuez;13245
2801303010;Aranjuez;10480
2801304001;Aranjuez;11651
2801304002;Aranjuez;11040
2801304003;Aranjuez;12152
2801304004;Aranjuez;12719
2801304005;Aranjuez;10741
2801401001;Arganda del Rey;9774
2801401002;Arganda del Rey;8160
2801401003;Arganda del Rey;9543
2801401004;Arganda del Rey;9999
2801401005;Arganda del Rey;8544
2801401006;Arganda del Rey;8250
2801401007;Arganda del Rey;9468
2801401008;Arganda del Rey;10342
2801401009;Arganda del Rey;9241
2801401010;Arganda del Rey;10796
2801401011;Arganda del Rey;10885
2801401012;Arganda del Rey;10161
2801401013;Arganda del Rey;10211
2801401014;Arganda del Rey;12385
2801401015;Arganda del Rey;10335
2801401016;Arganda del Rey;9735
2801401017;Arganda del Rey;9883
2801401018;Arganda del Rey;10524
2801401019;Arganda del Rey;11432
2801401020;Arganda del Rey;12934
2801401021;Arganda del Rey;14088
2801401022;Arganda del Rey;10945
2801401023;Arganda del Rey;8328
2801401024;Arganda del Rey;13235
2801401025;Arganda del Rey;11696
2801401026;Arganda del Rey;11768
2801501001;Arroyomolinos;13105
2801501002;Arroyomolinos;12359
2801501003;Arroyomolinos;12337
2801501004;Arroyomolinos;13621
2801501005;Arroyomolinos;13092
2801501006;Arroyomolinos;13673
2801501007;Arroyomolinos;13530
2801501008;Arroyomolinos;14025
2801501009;Arroyomolinos;14675
2801501010;Arroyomolinos;13307
2801501011;Arroyomolinos;12777
2801501012;Arroyomolinos;13926
2801501013;Arroyomolinos;7439
2801501014;Arroyomolinos;12906
2801601001;Atazar, El;0
2801701001;Batres;12392
2801801001;Becerril de la Sierra;12085
2801801002;Becerril de la Sierra;14513
2801901001;Belmonte de Tajo;9931
2802101001;Berrueco, El;11516
2802001001;Berzosa del Lozoya;13927
2802201001;Boadilla del Monte;10094
2802201002;Boadilla del Monte;30210
2802201003;Boadilla del Monte;26322
2802201004;Boadilla del Monte;30210
2802201005;Boadilla del Monte;22537
2802201006;Boadilla del Monte;14712
2802201007;Boadilla del Monte;25526
2802201008;Boadilla del Monte;10979
2802201009;Boadilla del Monte;25347
2802201010;Boadilla del Monte;23099
2802201011;Boadilla del Monte;13900
2802201012;Boadilla del Monte;16809
2802201013;Boadilla del Monte;18306
2802201014;Boadilla del Monte;18418
2802201015;Boadilla del Monte;17036
2802201016;Boadilla del Monte;18812
2802201017;Boadilla del Monte;19381
2802201018;Boadilla del Monte;17563
2802201019;Boadilla del Monte;20802
2802201020;Boadilla del Monte;22256
2802201021;Boadilla del Monte;18789
2802201022;Boadilla del Monte;22787
2802201023;Boadilla del Monte;17264
2802201024;Boadilla del Monte;16477
2802201025;Boadilla del Monte;22687
2802201026;Boadilla del Monte;18108
2802201027;Boadilla del Monte;20507
2802301001;Boalo, El;14303
2802301002;Boalo, El;13678
2802301003;Boalo, El;13813
2802301004;Boalo, El;11244
2802401001;Braojos;11781
2802501001;Brea de Tajo;9240
2802601001;Brunete;10279
2802601002;Brunete;10651
2802601003;Brunete;14701
2802601004;Brunete;13789
2802601005;Brunete;11048
2802701001;Buitrago del Lozoya;10639
2802801001;Bustarviejo;11636
2802901001;Cabanillas de la Sierra;14196
2803001001;Cabrera, La;11205
2803101001;Cadalso de los Vidrios;8526
2803101002;Cadalso de los Vidrios;8141
2803201001;Camarma de Esteruelas;10991
2803201002;Camarma de Esteruelas;11600
2803201003;Camarma de Esteruelas;13234
2803301001;Campo Real;10028
2803301002;Campo Real;10908
2803301003;Campo Real;9921
2803401001;Canencia;9929
2803501001;Carabaña;9536
2803601001;Casarrubuelos;10406
2803601002;Casarrubuelos;10697
2803701001;Cenicientos;8631
2803701002;Cenicientos;8085
2803801001;Cercedilla;11103
2803801002;Cercedilla;12435
2803801003;Cercedilla;13310
2803901001;Cervera de Buitrago;12670
2805101001;Chapinería;10723
2805201001;Chinchón;9210
2805201002;Chinchón;9592
2805201003;Chinchón;9467
2804001001;Ciempozuelos;10258
2804001002;Ciempozuelos;10255
